NAME,CODE,ELEV,LAT,LON,COUNTY,AGENCY,km3_storage
UPPER KLAMATH,KLM,4097,42.25,-121.815,SISKIYOU,US Bureau of Reclamation,0.265958155
GERBER,GBR,9999,42.205,-121.13,SISKIYOU,US Bureau of Reclamation,0.007725289
CLEAR LK - KLAMATH R,CLK,4552,41.927,-121.075,MODOC,US Bureau of Reclamation,0.079344874
DWINNELL,DWN,2792,41.541,-122.376,SISKIYOU,US Bureau of Reclamation,0.003790486
TRINITY LAKE,CLE,2370,40.801,-122.762,TRINITY,US Bureau of Reclamation,1.238176472
LEWISTON,LEW,1870,40.727,-122.793,TRINITY,US Bureau of Reclamation,0.017416746
RUTH DAM,RTD,2675,40.367,-123.433,TRINITY,Humboldt Bay Muncipal Water District,0.051638432
LAKE PILLSBURY,PLL,1807,39.408,-122.958,LAKE,Pacific Gas & Electric,0.035894286
LAKE MENDOCINO,MNC,760,39.199,-123.182,MENDOCINO,US Army Corps of Engineers,0.030885121
WARM SPRINGS (USACE),WRS,440,38.723,-123.01,SONOMA,US Army Corps of Engineers,0.151002696
SOULAJULE DAM,SLJ,344,38.153,-122.782,MARIN,Marin Municipal Water District,0.002064847
NICASIO,NCA,180,38.075,-122.757,MARIN,Marin Municipal Water District,0.006527579
KENT,KNT,415,37.997,-122.702,MARIN,Marin Municipal Water District,0.019914544
ALPINE LAKE,APN,654,37.94,-122.637,MARIN,Marin Municipal Water District,0.006312954
LAKE HENNESSEY,HNN,331,38.482,-122.372,NAPA,Napa County,0.023458334
BRIONES DAM,BIO,588,37.9151,-122.207,CONTRA COSTA,East Bay Municipal Utility District,0.066422931
U SAN LEANDRO,USL,477,37.7644,-122.1016,ALAMEDA,East Bay Municipal Utility District,0.029862566
CHABOT,CHB,250,37.73,-122.122,ALAMEDA,East Bay Municipal Utility District,0.009201765
DEL VALLE,DLV,703,37.614,-121.745,ALAMEDA,CA Dept of Water Resources/Operations and Maintenance,0.043356843
SAN ANTONIO RESERVOIR,SAT,468,37.573,-121.848,ALAMEDA,San Francisco County,0.055194557
CALAVERAS,CVE,775,37.492,-121.818,ALAMEDA,San Francisco PUC,0.068796148
LEXINGTON RESERVOIR,LNG,659,37.202,-121.988,SANTA CLARA,Santa Clara County,0.005353306
LEROY ANDERSON,LRA,640,37.165,-121.632,SANTA CLARA,Santa Clara Valley Water District,0.00379912
COYOTE RES-STA CLARA,CYC,755,37.118,-121.549,SANTA CLARA,Santa Clara Valley Water District,0.005961412
LOWER CRYSTAL SPRINGS RESERVOIR,CRY,293,37.53,-122.36,SAN MATEO,San Francisco County,0.062511564
SAN PABLO,SPB,330,37.9423,-122.2587,CONTRA COSTA,East Bay Municipal Utility District,0.025163004
SAN ANDREAS,SNN,456,37.578,-122.412,SAN MATEO,San Francisco County,0.021693224
LAKE SAN ANTONIO,ATN,779,35.798,-120.883,MONTEREY,Monterey County,0.029936574
WHALE ROCK,WHR,233,35.45,-120.883,SAN LUIS OBISPO,San Luis Obispo County,0.036274198
SANTA MARGARITA LAKE,SLN,1325,35.333,-120.502,SAN LUIS OBISPO,US Army Corps of Engineers,0.018209874
NACIMIENTO,NCM,784,35.758,-120.884,SAN LUIS OBISPO,Monterey County,0.069111919
CACHUMA LAKE,CCH,781,34.583,-119.98,SANTA BARBARA,US Bureau of Reclamation,0.129361279
GIBRALTAR DAM,GBL,1399,34.526,-119.686,SANTA BARBARA,City of Santa Barbara,0.000432952
MATILIJA DAM,MAT,1138,34.486,-119.307,VENTURA,Ventura County Flood Control District,0.002019208
CASITAS,CSI,335,34.373,-119.332,VENTURA,US Bureau of Reclamation,0.103972548
PYRAMID,PYM,2606,34.644153,-118.764528,LOS ANGELES,CA Dept of Water Resources/O&M Southern Field Division,0.201519895
BOUQUET CANYON,BQC,3008,34.586714,-118.395314,LOS ANGELES,Los Angeles County,0.037811115
CASTAIC,CAS,1535,34.5152,-118.6101,LOS ANGELES,CA Dept of Water Resources/O&M Southern Field Division,0.157551245
LAKE PIRU,PRU,213,34.461,-118.751,VENTURA,United Water Conservation District,0.01940265
COGSWELL RESERVOIR,CGS,2405,34.245,-117.965,LOS ANGELES,Los Angeles County,0
SAN GABRIEL,SGB,1481,34.207,-117.858,LOS ANGELES,Los Angeles County,0.000320705
LAKE MATHEWS,MHW,1404,33.833,-117.46,RIVERSIDE,Metropolitan Water District,0.186063149
PERRIS,PRR,1600,33.858,-117.183,RIVERSIDE,CA Dept of Water Resources/O&M Southern Field Division,0.140387362
LAKE HEMET,HMT,4202,33.666,-116.705,RIVERSIDE,Lake Hemet Muncipal Water District,0.008719474
BEAR VALLEY DAM,BRV,6743,34.242,-116.978,SAN BERNARDINO,Big Bear Municipal Water District,0.042846183
SEVEN OAKS DAM,SVO,2610,34.1178,-117.0978,SAN BERNARDINO,"Orange, Riverside and San Bernardino Counties",0.000339207
SANTIAGO CREEK RES (IRVINE LAKE),SGC,810,33.785,-117.723,ORANGE,Serrano Irrigation Dist and Irvine Ranch Water Dist,0.003298327
DIAMOND VALLEY,DMV,1756,33.67,-117.066,RIVERSIDE,Metropolitan Water District,0.792866535
VAIL LAKE,VIL,1470,33.496,-116.976,RIVERSIDE,Rancho Calif Water District,0.013321591
SUTHERLAND RESERVOIR,STD,2074,33.118,-116.787,SAN DIEGO,San Diego County,0.013241414
LAKE HODGES,HDG,315,33.046,-117.128,SAN DIEGO,San Diego County,0.014297274
SKINNER,SKN,1479,33.583,-117.122,RIVERSIDE,Metropolitan Water District,0.046227153
HENSHAW,HNS,2740,33.24,-116.762,SAN DIEGO,Vista Irrigation District,0.0047489
CUYAMACA DAM,CUY,4641,32.99,-116.587,SAN DIEGO,National Weather Service,0.000821498
SAN VICENTE,SVT,560,32.912,-116.924,SAN DIEGO,City of San Diego,0.212470736
MIRAMAR,MMR,720,32.9,-117.1,SAN DIEGO,San Diego County,0.006423967
